Herd;Sample;Total;Sieve;Quantity;Fraction
Herd 1;fresh 1;361,6;top;95,9;0,265210177
Herd 1;fresh 1;361,6;mid;133,9;0,370298673
Herd 1;fresh 1;361,6;pan;131,8;0,36449115
Herd 1;fresh 2;333,7;top;94,8;0,284087504
Herd 1;fresh 2;333,7;mid;125,3;0,375486964
Herd 1;fresh 2;333,7;pan;113,6;0,340425532
Herd 1;fresh 3;267,1;top;75;0,28079371
Herd 1;fresh 3;267,1;mid;102,6;0,384125796
Herd 1;fresh 3;267,1;pan;89,5;0,335080494
Herd 1;fresh 4;288,1;top;71,3;0,247483513
Herd 1;fresh 4;288,1;mid;115,7;0,401596668
Herd 1;fresh 4;288,1;pan;101,1;0,35091982
Herd 1;fresh 5;359,4;top;92,3;0,256816917
Herd 1;fresh 5;359,4;mid;147;0,409015025
Herd 1;fresh 5;359,4;pan;120,1;0,334168058
Herd 1;fresh 6;295,3;top;46,1;0,156112428
Herd 1;fresh 6;295,3;mid;133,6;0,452421267
Herd 1;fresh 6;295,3;pan;115,6;0,391466305
Herd 1;fresh 7;315,1;top;49,1;0,155823548
Herd 1;fresh 7;315,1;mid;137,2;0,435417328
Herd 1;fresh 7;315,1;pan;128,8;0,408759124
Herd 1;fresh 8;310,6;top;46,5;0,149710238
Herd 1;fresh 8;310,6;mid;143,8;0,462974887
Herd 1;fresh 8;310,6;pan;120,3;0,387314874
Herd 1;fresh 9;279,2;top;50;0,179083095
Herd 1;fresh 9;279,2;mid;125;0,447707736
Herd 1;fresh 9;279,2;pan;104,2;0,373209169
Herd 1;fresh 10;327,4;top;69,1;0,211056811
Herd 1;fresh 10;327,4;mid;137,5;0,419975565
Herd 1;fresh 10;327,4;pan;120,8;0,368967624
Herd 1;refusals;316,6;top;92,3;0,29153506
Herd 1;refusals;316,6;mid;118,6;0,37460518
Herd 1;refusals;316,6;pan;105,7;0,33385976
Herd 2;fresh 1;203,1;top;91;0,448055145
Herd 2;fresh 1;203,1;mid;59,9;0,294928607
Herd 2;fresh 1;203,1;pan;52,2;0,257016248
Herd 2;fresh 2;191,4;top;76,4;0,399164054
Herd 2;fresh 2;191,4;mid;56,7;0,296238245
Herd 2;fresh 2;191,4;pan;58,3;0,304597701
Herd 2;fresh 3;155,6;top;66,8;0,429305913
Herd 2;fresh 3;155,6;mid;44,5;0,285989717
Herd 2;fresh 3;155,6;pan;44,3;0,28470437
Herd 2;fresh 4;196,3;top;104,4;0,531839022
Herd 2;fresh 4;196,3;mid;42,5;0,216505349
Herd 2;fresh 4;196,3;pan;49,4;0,251655629
Herd 2;fresh 5;183,1;top;97,3;0,531403605
Herd 2;fresh 5;183,1;mid;38,5;0,210267613
Herd 2;fresh 5;183,1;pan;47,3;0,258328782
Herd 2;fresh 6;236,7;top;125,6;0,530629489
Herd 2;fresh 6;236,7;mid;56,5;0,238698775
Herd 2;fresh 6;236,7;pan;54,6;0,230671736
Herd 2;fresh 7;235,9;top;119,7;0,507418398
Herd 2;fresh 7;235,9;mid;54,6;0,231454006
Herd 2;fresh 7;235,9;pan;61,6;0,261127596
Herd 2;fresh 8;177,2;top;81,1;0,457674944
Herd 2;fresh 8;177,2;mid;44,5;0,251128668
Herd 2;fresh 8;177,2;pan;51,6;0,291196388
Herd 2;fresh 9;157,3;top;87,1;0,553719008
Herd 2;fresh 9;157,3;mid;35,5;0,225683408
Herd 2;fresh 9;157,3;pan;34,7;0,220597584
Herd 2;fresh 10;191,4;top;93,5;0,488505747
Herd 2;fresh 10;191,4;mid;45,8;0,239289446
Herd 2;fresh 10;191,4;pan;52,1;0,272204807
Herd 2;refusals;240,7;top;144,5;0,600332364
Herd 2;refusals;240,7;mid;49,9;0,207312007
Herd 2;refusals;240,7;pan;46,3;0,192355629
Herd 3;fresh 1;187,7;top;31,6;0,168353756
Herd 3;fresh 1;187,7;mid;63,9;0,340436867
Herd 3;fresh 1;187,7;pan;92,2;0,491209377
Herd 3;fresh 2;302,9;top;64,5;0,212941565
Herd 3;fresh 2;302,9;mid;88,6;0,292505777
Herd 3;fresh 2;302,9;pan;149,8;0,494552658
Herd 3;fresh 3;259,8;top;32,3;0,124326405
Herd 3;fresh 3;259,8;mid;84,5;0,325250192
Herd 3;fresh 3;259,8;pan;143;0,550423403
Herd 3;fresh 4;284,5;top;45,3;0,159226714
Herd 3;fresh 4;284,5;mid;104,6;0,367662566
Herd 3;fresh 4;284,5;pan;134,6;0,473110721
Herd 3;fresh 5;216,8;top;42,2;0,194649446
Herd 3;fresh 5;216,8;mid;60,7;0,27998155
Herd 3;fresh 5;216,8;pan;113,9;0,525369004
Herd 3;fresh 6;201,1;top;30,5;0,151665838
Herd 3;fresh 6;201,1;mid;59,7;0,29686723
Herd 3;fresh 6;201,1;pan;110,9;0,551466932
Herd 3;fresh 7;205,1;top;35,8;0,174549
Herd 3;fresh 7;205,1;mid;70,7;0,344709898
Herd 3;fresh 7;205,1;pan;98,6;0,480741102
Herd 3;fresh 8;190,9;top;70,1;0,367207962
Herd 3;fresh 8;190,9;mid;44,8;0,234677842
Herd 3;fresh 8;190,9;pan;76;0,398114196
Herd 3;fresh 9;231,3;top;53,1;0,229571984
Herd 3;fresh 9;231,3;mid;60,3;0,260700389
Herd 3;fresh 9;231,3;pan;117,9;0,509727626
Herd 3;fresh 10;368,3;top;117,9;0,320119468
Herd 3;fresh 10;368,3;mid;97,3;0,264186804
Herd 3;fresh 10;368,3;pan;153,1;0,415693728
Herd 3;refusals;334,9;top;184,1;0,549716333
Herd 3;refusals;334,9;mid;37;0,110480741
Herd 3;refusals;334,9;pan;113,8;0,339802926
Herd 4;fresh 1;333,6;top;35,4;0,106115108
Herd 4;fresh 1;333,6;mid;136,6;0,409472422
Herd 4;fresh 1;333,6;pan;161,6;0,48441247
Herd 4;fresh 2;286,9;top;11,9;0,041477867
Herd 4;fresh 2;286,9;mid;111,4;0,388288602
Herd 4;fresh 2;286,9;pan;163,6;0,570233531
Herd 4;fresh 3;331,2;top;29,2;0,088164251
Herd 4;fresh 3;331,2;mid;137,8;0,416062802
Herd 4;fresh 3;331,2;pan;164,2;0,495772947
Herd 4;fresh 4;365,8;top;44,8;0,122471296
Herd 4;fresh 4;365,8;mid;147,2;0,402405686
Herd 4;fresh 4;365,8;pan;173,8;0,475123018
Herd 4;fresh 5;368,8;top;43,9;0,119034707
Herd 4;fresh 5;368,8;mid;157,9;0,428145336
Herd 4;fresh 5;368,8;pan;167;0,452819957
Herd 4;fresh 6;334,8;top;39,4;0,117682198
Herd 4;fresh 6;334,8;mid;140,1;0,418458781
Herd 4;fresh 6;334,8;pan;155,3;0,46385902
Herd 4;fresh 7;400,8;top;32,6;0,081337325
Herd 4;fresh 7;400,8;mid;170,1;0,424401198
Herd 4;fresh 7;400,8;pan;198,1;0,494261477
Herd 4;fresh 8;374,5;top;22,9;0,061148198
Herd 4;fresh 8;374,5;mid;160,2;0,42777036
Herd 4;fresh 8;374,5;pan;191,4;0,511081442
Herd 4;fresh 9;341,2;top;28,9;0,084701055
Herd 4;fresh 9;341,2;mid;137;0,401524033
Herd 4;fresh 9;341,2;pan;175,3;0,513774912
Herd 4;fresh 10;354,1;top;52,2;0,147415984
Herd 4;fresh 10;354,1;mid;141,9;0,400734256
Herd 4;fresh 10;354,1;pan;160;0,45184976
Herd 4;refusals;278,2;top;46,9;0,168583753
Herd 4;refusals;278,2;mid;124,7;0,448238677
Herd 4;refusals;278,2;pan;106,6;0,38317757
Herd 5;fresh 1;333,6;top;61,8;0,185251799
Herd 5;fresh 1;333,6;mid;121,6;0,364508393
Herd 5;fresh 1;333,6;pan;150,2;0,450239808
Herd 5;fresh 2;409,7;top;90;0,219672931
Herd 5;fresh 2;409,7;mid;144,1;0,351720771
Herd 5;fresh 2;409,7;pan;175,6;0,428606297
Herd 5;fresh 3;435,5;top;99,2;0,227784156
Herd 5;fresh 3;435,5;mid;142,7;0,327669346
Herd 5;fresh 3;435,5;pan;193,6;0,444546498
Herd 5;fresh 4;506,2;top;146,2;0,288818649
Herd 5;fresh 4;506,2;mid;152,3;0,300869222
Herd 5;fresh 4;506,2;pan;207,7;0,41031213
Herd 5;fresh 5;347,2;top;81,4;0,234447005
Herd 5;fresh 5;347,2;mid;115,5;0,33266129
Herd 5;fresh 5;347,2;pan;150,3;0,432891705
Herd 5;fresh 6;449,3;top;109,1;0,242822168
Herd 5;fresh 6;449,3;mid;137,5;0,306031605
Herd 5;fresh 6;449,3;pan;202,7;0,451146227
Herd 5;fresh 7;593,8;top;195,8;0,329740653
Herd 5;fresh 7;593,8;mid;161,5;0,271977097
Herd 5;fresh 7;593,8;pan;236,5;0,39828225
Herd 5;fresh 8;449,6;top;98,7;0,21952847
Herd 5;fresh 8;449,6;mid;160;0,355871886
Herd 5;fresh 8;449,6;pan;190,9;0,424599644
Herd 5;fresh 9;428;top;90,3;0,210981308
Herd 5;fresh 9;428;mid;163,8;0,38271028
Herd 5;fresh 9;428;pan;173,9;0,406308411
Herd 5;fresh 10;425,7;top;86,1;0,202255109
Herd 5;fresh 10;425,7;mid;147,6;0,346723044
Herd 5;fresh 10;425,7;pan;192;0,451021846
Herd 5;refusals;306,9;top;102,8;0,334962529
Herd 5;refusals;306,9;mid;100,2;0,326490714
Herd 5;refusals;306,9;pan;103,9;0,338546758
Herd 7;fresh 1;473;top;105,7;0,22346723
Herd 7;fresh 1;473;mid;118,8;0,251162791
Herd 7;fresh 1;473;pan;248,5;0,525369979
Herd 7;fresh 2;637,4;top;152,2;0,238782554
Herd 7;fresh 2;637,4;mid;161,6;0,253529965
Herd 7;fresh 2;637,4;pan;323,6;0,50768748
Herd 7;fresh 3;715,8;top;252,7;0,353031573
Herd 7;fresh 3;715,8;mid;169,7;0,237077396
Herd 7;fresh 3;715,8;pan;293,4;0,409891031
Herd 7;fresh 4;656,6;top;143,7;0,218854706
Herd 7;fresh 4;656,6;mid;179,9;0,273987207
Herd 7;fresh 4;656,6;pan;333;0,507158087
Herd 7;fresh 5;822,9;top;207,1;0,25167092
Herd 7;fresh 5;822,9;mid;264,3;0,321181188
Herd 7;fresh 5;822,9;pan;351,5;0,427147892
Herd 7;fresh 6;818,4;top;199,8;0,244134897
Herd 7;fresh 6;818,4;mid;246,9;0,301686217
Herd 7;fresh 6;818,4;pan;371,7;0,454178886
Herd 7;fresh 7;714,2;top;192,9;0,270092411
Herd 7;fresh 7;714,2;mid;184,7;0,258611033
Herd 7;fresh 7;714,2;pan;336,6;0,471296556
Herd 7;fresh 8;789,5;top;155,3;0,196706776
Herd 7;fresh 8;789,5;mid;267,7;0,339075364
Herd 7;fresh 8;789,5;pan;366,5;0,464217859
Herd 7;fresh 9;590,4;top;128,3;0,217310298
Herd 7;fresh 9;590,4;mid;171,6;0,290650407
Herd 7;fresh 9;590,4;pan;290,5;0,492039295
Herd 7;fresh 10;497,8;top;144,1;0,289473684
Herd 7;fresh 10;497,8;mid;113,1;0,227199679
Herd 7;fresh 10;497,8;pan;240,6;0,483326637
Herd 7;refusals;461,9;top;286,9;0,621130115
Herd 7;refusals;461,9;mid;78,5;0,169950206
Herd 7;refusals;461,9;pan;96,5;0,20891968
Herd 8;fresh 1;375,1;top;91,5;0,243934951
Herd 8;fresh 1;375,1;mid;159;0,423886963
Herd 8;fresh 1;375,1;pan;124,6;0,332178086
Herd 8;fresh 2;363,9;top;82,3;0,226161033
Herd 8;fresh 2;363,9;mid;158,7;0,436108821
Herd 8;fresh 2;363,9;pan;122,9;0,337730146
Herd 8;fresh 3;369,1;top;89,5;0,242481712
Herd 8;fresh 3;369,1;mid;154,1;0,417502032
Herd 8;fresh 3;369,1;pan;125,5;0,340016256
Herd 8;fresh 4;361,4;top;85,7;0,23713337
Herd 8;fresh 4;361,4;mid;150,1;0,415329275
Herd 8;fresh 4;361,4;pan;125,6;0,347537355
Herd 8;fresh 5;363,3;top;71,6;0,197082301
Herd 8;fresh 5;363,3;mid;165;0,454170107
Herd 8;fresh 5;363,3;pan;126,7;0,348747592
Herd 8;fresh 6;368;top;125,4;0,34076087
Herd 8;fresh 6;368;mid;141,6;0,384782609
Herd 8;fresh 6;368;pan;101;0,274456522
Herd 8;fresh 7;321,2;top;84,9;0,264321295
Herd 8;fresh 7;321,2;mid;129,6;0,403486924
Herd 8;fresh 7;321,2;pan;106,7;0,332191781
Herd 8;fresh 8;294,7;top;69,9;0,237190363
Herd 8;fresh 8;294,7;mid;128,6;0,436375976
Herd 8;fresh 8;294,7;pan;96,2;0,326433661
Herd 8;fresh 9;308,8;top;106,4;0,344559585
Herd 8;fresh 9;308,8;mid;116,8;0,378238342
Herd 8;fresh 9;308,8;pan;85,6;0,277202073
Herd 8;fresh 10;278,6;top;50;0,179468772
Herd 8;fresh 10;278,6;mid;134,4;0,48241206
Herd 8;fresh 10;278,6;pan;94,2;0,338119167
